0,"Blue,Honda,Pilot"
1,"Red,Toyota,Tacoma"
2,"White,Acura,MDX"
3,"Black,Chevrolet,Tahoe"
4,"Black,Audi,A4"
5,"White,Ford,Fusion"
6,"Silver,Lexus,NX"
7,"Red,Dodge,Durango"
8,"Black,Lincoln,Corsair"
9,"Silver,Chevrolet,Malibu"
10,"Silver,BMW,3 Series Convertible"
11,"Black,Tesla,Model S"
12,"Gray,Ford,Fusion"
13,"White,Ram,1500"
14,"Black,Chevrolet,Silverado 1500"
15,"Blue,Amazon,Truck"
16,"White,Lincoln,Corsair"
17,"Silver,Ford,F-150"
18,"Black,BMW,5 Series"
19,"Red,Hyundai,Sonata"
20,"Gray,Nissan,Altima"
21,"White,Chevrolet,Suburban"
22,"Silver,Toyota,RAV4"
23,"White,Ford,F-150"
24,"White,Subaru,Outback"
25,"Black,Scion,tC"
26,"Black,Chrysler,Pacifica"
27,"White,Porsche,Cayenne"
28,"White,Lexus,NX"
29,"Silver,Kia,Telluride"
30,"Silver,Honda,Pilot"
31,"Black,Ram,1500"
32,"Blue,Ford,Ranger"
33,"Gray,Chrysler,Voyager"
34,"Silver,Honda,Odyssey"
35,"Brown,UPS,Truck"
36,"Red,Ram,1500"
37,"White,Buick,Regal"
38,"Black,Ford,Transit Connect"
39,"Silver,Toyota,Camry"
40,"Red,Chevrolet,Trailblazer"
41,"Silver,Chevrolet,Silverado "
42,"Silver,Chevrolet,Silverado"
43,"Gray,Kia,Sportage"
44,"Blue,Nissan,Rogue"
45,"White,Chrysler,Pacifica"
46,"Black,Jeep,Wrangler"
47,"Black,Ford,Fusion"
48,"Silver,Toyota,Highlander"
49,"Silver,Hyundai,Elantra"
50,"Gray,Mitsubishi,Outlander"
51,"White,Jeep,Grand Cherokee"
52,"White,Garbage,Truck"
53,"Maroon,Jeep,Grand Cherokee"
54,"White,FedEx,Truck"
55,"White,Mailman,Truck"
56,"Blue,Recycling,Truck"
57,"Silver,Mazda,CX-5"
58,"White,Mazda,CX-5"
59,"Black,Garbage,Truck"
60,"Black,Honda,Civic"
61,"Black,Toyota,Corolla"
62,"Black,Jeep,Grand Cherokee"
63,"Black,Audi,A5 Cabriolet"
64,"Black,Toyota,Highlander"
65,"Black, Toyota,RAV4"
66,"White,Chevrolet,Silverado"
67,"White,Honda,Pilot"
68,"Silver,Chevrolet,Cruze"
69,"Bronze,Honda,CR-V"
70,"White,Ford,Explorer"
71,"Gray,Honda,Accord"
72,"Black,Nissan,Altima"
73,"Silver,Ford,Explorer"
74,"Dark Blue,Chevrolet,Silverado"
75,"Silver,Mazda,CX-30"
76,"Silver,Acura,TSX"
77,"Gray,Honda,Civic"
78,"Silver,Honda,Accord"
79,"Blue,Mazda,CX-5"
80,"Gray,Toyota,4Runner"
81,"Black,Ford,Explorer"
82,"White,Nissan,Frontier"
83,"White,Honda,CR-V"
84,"Black,Nissan,Xterra"
85,"Black,Toyota,Camry"
86,"Dark Blue,Mazda,3 Hatchback"
87,"Gray,Dodge,Charger"
88,"Blue,Subaru,Crosstrek"
89,"Black,Kia,Telluride"
90,"Red,Chevrolet,Malibu"
91,"White,Hyundai,Kona"
92,"Black,Toyota,RAV4"
93,"Silver,Honda,Civic"
94,"Silver,Ford,Escape"
95,"Silver,Volkswagen,Beetle"
96,"White,Dodge,Durango"
97,"Gray,Honda,CR-V (older)"
98,"Black,GMC,Acadia"
99,"Silver,Chevrolet,Equinox"
100,"White,Ford,Maverick"
101,"White,Subaru,Outback "
102,"Maroon,Honda,Accord"
103,"Black,Dodge,Durango"
104,"White,GMC,Yukon"
105,"Grey,Mitsubishi,Outlander"
106,"Silver,Ford,Fusion"
107,"Black,Nissan,Pathfinder"
108,"Grey,Chrysler,Pacifica"
109,"Dark Blue,Ford,F-150"
110,"Red,Ford,Explorer"
111,"White,Chevrolet,Silverado 3500HD"
112,"Gray,Kia,Sorento"
113,"Black,Jeep,Compass"
114,"White,Chevrolet,Equinox"
115,"White,Ford,F-150 Raptor"
